gene,WD_t1_wt_VS_WD_t1_DKO_FC
Mmp12,-6.21495140613803
Smox,-1.0995588561156002
Cpd,-0.8080772087461491
Hcls1,-1.95340639622183
Ssbp2,0.957497019417496
Dmd,1.33967598127439
Cd74,-2.01436408615205
Cobl,1.2277304025092401
Rasl12,1.08148315619234
A630033H20Rik,-2.0633511373675097
Pik3cd,-1.7946550398923102
Prkx,-1.24379989581713
Csmd1,-1.91337167655996
Abr,-0.9749834066451791
Tmem8,-1.89062660864155
Gngt2,-2.8017245235066097
Pdgfrl,1.16711286813068
Rnf180,-2.9735238440244705
Lilra6,-3.51464553286805
Gsr,-0.80009068393897
Cln8,-1.1264422089905601
Pkp4,1.3412277686888798
Bcl2a1b,-4.4871942737035
Mpv17l,1.1272443569333799
Plekhb2,-0.8805731691373759
Elovl1,-0.8004156104713629
Ddhd1,-1.0242718456866
Pik3cg,-1.59253174027254
Klhdc8b,0.889753755053545
Ccl19,-1.90488432423101
Rps6ka1,-2.00260741763846
Gjb3,-5.40846944326064
Sulf2,-0.834846748979307
Rps6ka2,-1.0072406067768
Sphk1,-2.64982570933152
Necap2,-0.959058881713759
Casp1,-1.12716135886276
Plxnb2,-1.03813362087752
Gcnt4,-2.9221389221835796
Pitpnm3,1.2844810848015
Chd6,0.874825158780712
Lamp2,-0.9824472457866791
Gnptab,-1.10115446859108
Naip5,-1.57425319349718
Lpxn,-2.86415905144933
Slc38a7,-0.93762372368678
Col6a3,-1.03891961027712
Plcl2,-1.9977990349614299
Tnk2,0.874019128730958
Tmem178,-4.87822814675776
Casp8,-1.04944236343447
Alox5ap,-2.51900153185835
Ctsh,-1.28233307830957
Plac8,-1.6990399735664197
Erp29,-1.0366246393802099
Neurl3,-2.12262949631292
Amz1,-3.80965582500013
Cd109,-1.32655994244475
Hgf,-3.87921269682913
Arl11,-4.7977875174877695
Cyth4,-3.3440438047700094
Ramp1,1.61254197987288
Ctnna3,1.4317877987886
Htra4,-1.62633353562491
Ehd4,-0.857326093021646
Colgalt1,-0.887388291445634
Ihh,2.15108950157671
Noxo1,1.2844966250801002
Rab3il1,-1.7758962215195502
Tie1,-0.872044277081966
Shtn1,-0.950993429339654
Acan,-1.7025187015837402
Bst2,-1.1725563483154098
Col6a6,1.56480034612914
Spats2l,1.22653291625848
Ccr5,-3.35092025003706
Snx5,-1.28040023565414
Tceal3,1.5285055354106298
Btc,1.8560266920968602
Slc25a23,0.8797177669235341
Colq,4.18618142987406
Tgfb1,-1.96122043215399
Igfbp2,-2.56887427929978
Sspn,0.8299456351659029
Srgn,-1.19218388478245
Fgf14,1.5711001480189397
Paqr6,1.45739346448725
Mapkapk3,-0.9519624957114449
Glb1,-1.31801267619192
Gna15,-1.9996875016676101
Slc1a5,0.990637613242476
Itgb2,-3.70291907004189
Egr2,-2.45355744352575
Tubb6,-1.0914084045280201
Crlf2,-1.7702101746361798
Pgm1,-1.04480829043155
Wdfy4,-2.8114151541390697
Cd59a,0.904235500501529
Clec4d,-4.96340999070882
Rcan1,-1.18416031786371
Vwf,-1.4508923282971498
Tpp1,-0.8996459269477449
Tdrd5,5.6910718774937905
Myom1,1.4168314283873
Rin1,-1.4574259622242298
Pirb,-4.15920517242266
St3gal1,-1.43862025483054
Svil,0.820405844736778
Cd33,-1.8542089135251498
Nxpe5,-4.31947576537067
Mesdc1,-1.14925298019935
Mertk,-0.971416116899851
Arpc1b,-1.2274292066274899
Plec,-0.939677636558529
Nalcn,1.48003107788077
Nuak2,-2.83722130077692
Napsa,-2.87508148150644
Creg1,-1.78222996163106
Trf,-1.63688427075232
Krba1,0.848672986054436
Clec4a1,-1.60839807350859
Hcst,-2.0633755568279
Fam134b,-1.48959354917232
Tm4sf19,-6.3000528000428
Ass1,-0.861203237196956
Bin2,-1.7625152330844298
Pld3,-3.01357769313154
Optc,2.01648226975465
Lonrf3,-1.82869055004773
Cd38,-2.41190719333912
Bst1,-3.00469763428743
Clca3a2,-3.62892713033611
Sema6b,-1.23827485138982
Cd72,-4.78064245607575
Clec1b,-2.2094958200742596
Ppp1r9a,1.21914097924106
Slc7a2,-1.02403170540812
Gdf6,-3.13662666352078
Tnfaip2,-3.86608172059479
Evi2a,-2.9183362862702698
Syde2,1.43785510568865
Zfp354c,1.00994396192892
Pcsk5,1.2021046266778301
Hhipl1,-1.6541236852634098
Ankrd35,1.24068150474143
Ccl6,-3.3767617761243702
Arl4c,-2.46222778310389
Tpcn2,-1.13219170475003
Fcer1g,-3.32112161767436
Gprasp1,1.13963361163096
Cd163l1,-1.9463384551610698
Plk3,-1.63695930536722
Trim29,-3.72927115988573
Gucy1a3,1.62462091788467
B430306N03Rik,-4.9912356925897505
Degs2,-1.58133976109864
Stra6l,-6.10651639202462
Dok1,-1.1069882825051398
Tbxas1,-2.99674145317816
Procr,-1.34180969486
Gm2a,-1.1286871695724299
Bcl2a1d,-5.6439665991376105
Kcnk13,-3.9211060474026604
Pdpn,-2.40390492827241
Rgs7bp,1.51837201241027
Tmem132a,-1.0898893956715
Cd200r1,-3.2824035398995095
Fam13c,1.5179514012213897
Lcp1,-3.5110428764069996
Pde1a,-0.8563267105171309
Gatm,-2.04736740137278
Msrb3,0.9428272286908929
Kcnq4,1.4318080160294597
Rab11fip5,-0.801677070977159
Jam3,0.9721023193402429
Lrrc17,1.7284822808454299
Dmpk,1.35319033187738
Wfdc17,-4.41674434718894
Pdgfc,-1.6642488353750602
Gpc1,-1.24737326007389
Nlrp3,-2.5414516551406603
Cd44,-2.90062355525743
Pnldc1,1.63677127030905
Rgs4,1.2433201289326699
Lcn2,-4.76783177898615
Rtn2,1.1111496867035302
Col8a2,1.48451521660023
Tnn,-3.4192443239452897
Dab2,-0.840802926650624
Col24a1,-4.82101394047124
Glipr1,-2.10479458335081
Cmtm3,-1.35975744236555
Mpeg1,-5.1853161663376
Ankrd33b,-1.36613523206351
Prkaa2,1.100577772663
Slc6a7,1.3812928889001204
Naip6,-2.56620816868011
Tpm2,1.21392948300908
C1ra,-0.7316015015847309
Gla,-2.8810790329609595
Pkia,0.702995942191451
Plekho2,-1.1123156865661599
Gfra4,1.13835434991774
Ppp1r18,-0.7879953010716542
Adam9,-0.983484098975376
Etv3,-0.8829105290107601
Itga4,-0.863915123642718
Zfp707,1.09178028795294
Pianp,-2.79106208807684
Susd6,-0.8297144752374991
Lasp1,-0.9276829081819481
Mum1l1,1.38848014378227
Tlr7,-1.97927642794496
Lamp1,-0.7875607813061859
Laptm5,-3.46031004114309
Mid1,-0.8153468263677679
Fam111a,-1.3401217258322802
Mpp1,-0.830021088043865
Ifitm3,-0.8683848938856651
C1qb,-3.8171144912915294
Blvrb,-0.942794479941119
Rab20,-1.75085333041565
Htatip2,-0.861019595441285
Nfatc2,-1.80227231892857
Renbp,-2.49803568496555
Sgcd,0.9269937103426871
Thbs1,-4.78231958222549
Mmp8,-4.3267632037720904
Satb1,3.8119340257749905
Man2a1,-1.03869200792966
Rai14,-2.19793311959297
Tmem254c,-4.57637416004068
Sh3pxd2b,-1.38050157718705
Meis1,0.8921810162464631
Atp8b4,-3.04657013760342
Tnfrsf23,-1.7634544856968604
Uggt1,-0.736032800630831
Il1b,-3.80217000829363
Phex,1.6595544452225501
Tmem104,-1.54910730344815
Gprasp2,2.00227589784311
Akap6,1.5671166843656001
Slc15a3,-5.322181723949099
Hs6st2,-2.86267749439435
Thra,0.8743452952649658
Prrt2,1.15320696953521
Cblb,-1.1014327472895
Ptgfrn,-0.83083075296937
Susd3,-2.65326939976636
Glt8d2,1.07101179834397
Chst11,-1.7586411705503702
Mmp2,-1.4088677854911797
B2m,-0.848198429269145
Itga6,-1.30165009457308
Soat1,-2.54621990947698
Igsf9b,1.18724062865258
Pnp,-0.9005545503814449
Raph1,-0.690757679638593
Sh3rf2,1.95786563832479
Slc35e4,-1.19655041726785
C2cd2l,-0.783052306845687
Tmem86a,-1.79064249442443
Col4a6,1.46468196817505
Mylk2,1.5660792925525502
Sirpb1b,-3.43412381098817
Clec4a3,-2.1145746629349302
Plxna1,-1.38689121124647
Gsn,0.892873552882105
Pla1a,-1.47776641137331
Vstm2b,2.0232179386211
F7,-5.562130543280491
Hn1l,-0.9913892699127091
Tifa,-1.6299386111429799
Abhd12,-1.72871857398958
Inafm2,0.7764444148152589
Ostm1,-0.8851773437904731
Sphkap,2.4354076040182098
Tnfrsf21,-1.52178977378205
Vopp1,-0.782300531798978
Chst10,1.6992468717126799
Atp1b2,1.38317830483491
Lamb1,-1.14801033913598
Slc3a2,-1.24972590949664
Tlr13,-4.609991166165759
5031414D18Rik,-1.95269719717303
Igf1,-1.40632080932723
Aqp11,1.89404229508911
Arl8a,-0.667851546240099
Gal3st3,1.72615982556539
Cxcl16,-3.6893991317936004
Gmip,-1.12001213907826
Carns1,1.2751994628923602
Rarres1,-2.8147714256034906
Ccl4,-4.65415783506703
Mefv,-4.40950165285258
Tcirg1,-2.21880035935383
Tpra1,-0.748958897563248
C3ar1,-4.39236830083419
Samd8,-0.78974188214413
6430548M08Rik,-1.07223406817998
St14,-1.82715661696222
Tmem164,-0.85675155627599
Cxcl12,-0.8483140434332271
Zc3h12d,-3.1650953334665495
Whrn,1.06393797775206
Mdfic,-1.3632010102793402
Omd,1.47270838433128
Cd37,-2.1987853299958
Plcb4,1.23849384680603
Col4a5,1.10381997562932
H2-Q1,6.534718204590679
Adra1d,1.65678811840644
Gpr35,-4.23568072126743
Plvap,-1.5444071166921
Scamp5,-1.12635128327462
H2-Q2,3.19668476184449
Actg1,-0.9848715899199308
Cd209a,-1.75912021620058
Tnfaip6,-1.61218025862016
Tmem254a,-1.8287037143149998
Clu,-1.6541656341408602
Cln3,-0.965588717914032
Grem1,-4.7707662665565405
Ninj1,-0.935586395531993
Fabp5,-2.7833094033322596
Serpinb9b,-3.5848132865622904
Ttc9,-3.2391852888056296
Npnt,1.61839171878198
Ptprz1,1.70042757728372
Ctsk,-2.6222619726580696
Fhl1,1.08769760618511
Lgals4,1.51230243052594
Sh2d1b1,-4.18727198190224
Npr1,0.874198743732605
Sema4d,-2.2017149205241
H2-M2,-2.43529091163954
Tnfrsf11b,-2.0483461808209
Slc37a2,-4.36223555517106
B4galt5,-2.73983189924515
Daglb,-1.69037774791686
Oas3,-1.31062465699972
Tspan14,-1.0152077472429302
Nrros,-2.0307103170142202
Dmc1,2.2748796503266298
Nudt19,0.766934790434687
Mturn,0.900319348236264
Mt2,-2.69205823360904
Ly6a,-1.14209710628598
Pdzrn4,2.4895393392729397
Galns,-2.23195452006201
Cdk6,-0.7276943638797622
Anxa4,-1.51473132575938
Rspo2,-3.4496884512951898
Psme2b,-1.6089580654767999
Pqlc3,-1.2089798465396298
Ero1lb,-1.04677914537349
Wdr81,-0.970945741761027
Tlr6,-2.07558610660347
Trem1,-3.64814086872245
Wfs1,-1.3358084316752499
Slc9a3r1,-1.14273709186372
Irf9,-0.784904779098085
Eps8,-1.6934292187947397
Tspan2,1.1621678543228602
Tnfrsf1b,-3.0375212099849396
Hhip,3.2302373648960296
Zak,0.7834154650634971
Svip,0.948141892604852
Axin2,1.07391992688834
Cxcl2,-3.7945563154535895
Mmp27,-3.00238236862215
Irf8,-2.99004564291719
Ticam2,-2.4729247398286702
Cnr2,-2.55413081322293
Tmsb10,-1.1482114490001298
Lgals3bp,-1.7552053015025701
Plekhm1,-1.13387220519533
Arnt2,-1.68773267040405
Bcam,1.6609275538994097
Skap2,-1.00475953369609
Slc39a11,-1.77724750642631
Folr2,-1.6245402347183502
Clca3a1,-1.6508915380389801
Batf3,-2.21695871568088
Plod1,-1.06669526304919
Pex5l,1.3144768337161599
Nceh1,-3.2990766798725097
Ky,2.46562351341382
Pi4k2a,-1.12944170125201
Pdlim3,1.32333194949886
Itga8,1.71037240227475
Cybb,-3.57023826139704
Atp6v0a1,-0.963279112888957
Msr1,-4.7428379171765895
Mrc1,-1.24686203885314
Zdhhc18,-0.948623198580678
Rbpms,1.28865880243028
Fam129b,-1.70567309687834
Rab29,-1.0061049316148298
Wisp2,-1.72920901317091
Dok3,-2.09637856881484
Lep,2.72778277068269
Pigs,-0.7611346722109459
Trpm2,-2.30702629734894
Nfkbiz,-1.4048059978390801
Nkx3-1,2.2535682530038197
Clic1,-0.89002900835729
Cdh6,2.20828686505348
Aim2,-1.6034745488002602
Mctp1,-2.7294710030917995
Stac2,-5.668176949226661
Xylt2,-0.8324050857106601
Aoah,-2.51609161417189
Rimklb,1.9988689110267601
Pkp1,-3.88667330343262
Car12,3.51707884236175
Tcea3,1.24160419642122
Csk,-0.674416356731451
Itga11,-1.9680957022578
Matk,-3.03641468042107
Fat3,-5.14497496121421
Tnfsf13,-1.78714820415717
Apobec1,-2.97221408768682
Rasa3,-1.42013597273462
Slc22a1,2.10225177338363
Mcoln3,-5.20682833411433
Asb2,1.51049406445707
Tlr1,-3.33268512910983
Nectin4,-2.6254827760317405
4930404N11Rik,-1.9824374628492099
Ctsl,-3.5139320058780896
Cxxc4,1.64500866699792
Fam81a,1.9811317514724498
Arpc4,-0.877462777074496
Slamf9,-1.46355929808204
Pik3ap1,-4.2889350401023
Rbp4,0.998798129356001
Atp6v0b,-0.838458791063883
Ch25h,-4.21217046211051
Cd244,-4.66490523402463
Bid,-1.7374274886585
St5,1.57873929830626
Scn1b,-1.2138161431567
Ltbp2,-2.58111743140599
Nsf,-0.9845694645085951
Clec5a,-3.6017130727319997
Cd80,-3.06681592548545
Ywhah,-0.7458967157873221
Grn,-1.7716443432695002
Nkd1,1.56386141149578
Rap2a,-1.2049560553421201
Atp6v1e1,-0.738189227248375
Itgax,-6.28576005167575
Bpgm,1.9498080905356598
Grb14,1.2296872858612
Tgif1,-1.5489636998973
Myo1g,-2.06249907920112
Ccl8,-3.6075476012032404
Tnip1,-0.699782628984137
Wdr78,1.89147242183211
Il1rn,-5.357260709345041
Fbxo30,1.12694728629528
Wdr91,-1.70319745935909
Pcp4l1,1.76490737372152
Dhx58,-1.20606631612475
Loxl2,-1.7012544322969299
Rmnd1,0.8104664780705759
Pdia4,-0.757448326836718
Abca1,-2.38225969445793
Card14,-2.17630407192359
Kank4,1.34637362151233
Ccl3,-4.1963413701338705
Gucy1b3,1.54680906684602
Arhgap11a,-1.26289703724481
Mef2c,0.805092839920032
Ccr9,4.81817542146171
Iqgap1,-1.3138767532230502
Cd93,-1.48353854543827
Pip4k2a,-0.7067509576257679
Hmox1,-3.08012869468726
Gjc1,0.965100595175022
Cfd,-1.9972275521874499
Serpinb6a,-0.9410760201835731
Lgr4,0.750559857403052
Cysltr1,-1.73194088005551
Mkl1,-0.92038736086557
Tnfsfm13,-1.4942778938069499
Rhbdf2,-0.846914750416044
Aqp5,-3.21065755350646
Vipr2,1.47414871564693
Mmp13,-5.956401782463701
Lgr6,1.40901190401362
Arhgap9,-1.8738435754977198
Cd63,-1.63438896526901
Aif1,-2.10465986234853
Kif26b,-1.97837502485288
Ubash3b,-2.75463202290137
Tub,2.19513796331062
Nlrp1b,-2.13276759508124
Nckap1l,-3.0360064807289904
Gpnmb,-6.261095705690369
Sgpl1,-1.76055837234958
Ttll7,1.1151056906511
Rgs19,-1.12603294433215
Arpc3,-0.7571023885307572
0610040J01Rik,-2.4067002608590897
Thrb,1.31105182709921
Abl2,-0.823710353555295
Ptrh1,-1.48269473115627
Siglec1,-1.92222566382184
Dpep2,-4.46299074024503
Sept1,2.48355585562098
Ibsp,-3.64166509377265
Mknk1,-0.8161472074477629
C4b,-2.60208910126674
Nbea,0.916282584456932
Ntf3,1.4658932991751399
Man2b1,-1.75766191995692
Phactr1,1.26147656245367
Rassf2,-0.8992137622988691
Tg,-7.013556025372099
Inpp5a,1.04020416121022
Ulbp1,-2.03974723361075
Cyth1,-0.8083977885017081
Zmiz1,-0.9917075661683179
Ildr2,-1.7511444366035802
Tom1,-0.759016615769638
Susd5,1.7407597582947099
Acsl4,-0.810626201170457
Slc39a1,-0.721334723892167
Mt1,-1.3562695043163702
Samhd1,-0.998075808996392
Nexn,1.16326493327395
Slc43a2,-1.39740703174353
Upp1,-2.32775186054959
Sash1,-0.716886719465631
Pitpna,-0.7216625696260601
Ucp2,-1.9939176882648701
Ciita,-1.96036905254651
4933409K07Rik,-0.9016643015806851
Ceacam16,-8.03069168894493
Hvcn1,-3.22655819134646
Nras,-0.7949027389077971
Dram1,-1.23761246888058
Vav2,-0.903201035796539
Gas7,-0.9076122150624101
Ncf4,-3.35792121267626
Pld4,-1.9872434893006399
Fmn1,-2.1001946294182803
Il1rl2,-2.01542051798327
Slc8b1,-1.24667231507631
Slc25a45,-1.5980941942595401
Snx1,-0.6766126829142299
Sntg2,1.65913147048436
Chad,-2.27929746576265
Ank2,1.38164768025758
P2ry6,-1.72342145728221
Eepd1,-1.21743381489044
Ptbp2,0.8451374704958778
Cyp4f18,-3.26562307001039
Col6a4,-3.08802339983765
Mag,-3.17169875026694
Hyou1,-0.7267057686008309
Sytl5,2.15640553537437
Unc5b,-1.25027324709392
Gramd1b,-2.52606935821004
Lef1,4.20686445357213
Padi2,-1.61013887762273
Nfkb2,-0.9751789849537759
B3gnt7,-4.08429841806634
Sh3bp2,-2.4619035684206
Pgr,1.87632838420445
Pwwp2b,-0.8385764314664699
Sirpb1a,-3.29104907430506
Dnase2a,-2.04134971410762
Gpr65,-2.85272345942203
Cemip,-7.785315146095161
Rell1,-1.54173709160971
Lgmn,-3.18997577496565
Ralgds,-1.6508077681625801
Wdfy1,0.7634282955242472
Ctla2a,-1.1665548716168601
Naglu,-1.59553943287341
Esd,-0.8534483378778729
Ldlrap1,-1.04753604423595
Dtx4,-1.51434000258682
Tnfaip8l2,-2.81736659406852
Myl9,1.52195516077755
Galnt6,-3.42506956915478
Sfrp1,-1.3121624548663
Nfe2l2,-0.692634770741615
Slmap,0.921477780762211
Slfn2,-2.41286211912916
Ttc7,-1.23502877904024
Hk3,-5.216744726172481
Ptger2,-2.29519794232033
Hspa12a,0.8881432324244921
Prkch,-1.06589772261051
Col6a5,-2.02497785546566
Rsph3b,0.763070765686113
Plod3,-0.85920809485349
Fgr,-3.8092904932821603
Ccdc3,1.48680482207275
Ttyh2,-2.13511443062989
Socs3,-3.2790164141612297
Ern1,-0.80471022703125
Igsf8,-1.07289028084529
Ptchd1,-2.0472785840631
Hmga1,-1.10364506382175
Rgag4,-1.2658732132150299
Clec12a,-3.2395264508208705
Nfam1,-2.76866325924481
Erbb4,1.2773448792288
Serinc2,-2.2067569094044597
Myd88,-1.06636500886623
Slamf8,-2.80754015411394
Ppm1e,1.73004750527261
Vps18,-1.0831139577775502
Slc16a3,-1.29839052753592
Treml4,-2.2456545845047002
Nos1,-1.7612667955522998
Ppm1h,-1.19962375057729
Spns2,-0.9504397596332379
Tmpo,0.753948649910862
Adgre1,-3.0508092571412404
Tyrobp,-3.9438242679208497
Lrrc8c,-0.824392790826859
Lhfpl2,-3.6896385455113703
Cd300lf,-5.094936932804
Rhov,-5.29890437347787
Slc2a6,-2.4396435632989704
Rasl10b,-1.97106518711826
Prss46,-7.32628333370355
Galc,-1.81588370610057
Runx3,-2.65691460454787
Nagk,-1.0251367629752501
Tor4a,-0.8654523855158721
Ndrg2,0.808634192545636
Sh2d1a,4.24636416254422
Dnajb11,-0.7940487472839219
Abcb4,-1.90187150210197
Apbb2,-0.8351439450287859
Plcb2,-1.7565080292701998
Syk,-3.19321863679111
Sept6,1.4372933780142
Dact1,1.06805853182074
Cdca7l,-2.13803875440228
Csf2rb,-3.77687872645646
Cmip,-1.16108288260539
St18,-4.99688057521438
Icam1,-1.55591135143623
Abca8a,1.10800304085972
Trpv2,-1.07438499417154
Pilra,-3.08923644847075
Parp14,-0.668805578985494
Lbp,-1.66841632073838
Anxa8,-4.36916405304698
Inhbb,-1.65182540148691
Ccdc109b,-2.0627565434983604
Fam212b,1.36692100513354
Gulp1,0.795426270351635
Cfl1,-0.902752460378393
Myo1f,-3.90482580209283
Runx1,-2.07976889312272
Gm44504,-2.8353603873621402
Atp6v1b2,-1.7825260055810201
Wnt5a,1.50420759716929
Gpsm3,-1.22823256167647
Vsir,-2.50716264032607
Glipr2,-1.09762128943945
Cd276,-1.9051444864659097
Pnmt,3.73681512198556
Mylip,-1.3134586848582799
Cd180,-4.13071339568699
Rbm24,1.4215632058951002
Dstn,1.37373866842051
Clec4n,-3.9993002002185203
Edn1,-1.08696292336912
Srpk3,1.4059783761503797
Ddi2,-0.8060219288201341
Mmp19,-2.30296449730113
Mafb,-2.91998215643946
Coro1b,-0.696046237903595
Arhgap17,-0.748111927569733
Lpar5,-3.02546116159233
M6pr,-0.794951809835746
Sbno2,-1.7315576905263599
Slco2a1,-2.1689248626618003
Cndp2,-2.44495954261934
Sox4,-1.34464487136653
Rab8b,-1.6543503966833502
Csf2ra,-3.13981140221285
Chst2,-1.2958288849978
Kif3b,-0.7391279885267751
Plekha5,0.7086224754806151
Emilin2,-1.64813571047529
Prr13,-1.7283714715510903
Fermt3,-2.12335387781738
Hsd3b7,-0.9867547278571039
Fcgr1,-3.76477791082366
Gabra3,1.2399294691403302
Oasl2,-1.04730796781339
Slurp1,-4.637870901165741
Kcnip4,1.77942168468153
Mfsd5,-0.8353653801418729
Apod,-1.21144010629277
Cp,-0.917504259493673
F2r,-0.851722029424109
Slc9a5,-1.386825488678
Pltp,-2.53643739578501
Fes,-2.0489791255986898
Adap2,-2.5071948543611096
Map4k4,-0.843228833452604
Cdk20,-1.73672793643472
Vdr,-1.8329607755414599
Lrp1,-1.1912212671126798
Mgat5b,2.01295493178892
C6,-2.38912472957493
Txn1,-0.8304214004146421
Pnpla7,-1.47913527862115
Amdhd2,-1.07845626858372
Xylt1,-1.9818952848521998
Stab1,-1.28507448085027
Angptl2,-0.923784417806509
Lrg1,-1.90558097004293
Gid4,0.685403967121326
Actr2,-0.8615643990267029
Zfp612,1.3043340224886102
Prcp,-1.27756210029376
Prickle1,0.837691747246936
Egflam,0.971031541635982
Mcl1,-0.8165851214804399
Phtf2,0.9470868474654079
Sat1,-1.06217674114831
Rasgef1b,-3.53658635519055
Ddx26b,0.822131262594999
Slc8a2,1.34420788479148
Col3a1,-1.5248540992083202
Tmem136,1.49283082674994
Pfkfb4,-1.1707474569332599
Vmp1,-1.23940061597452
Slc6a8,-1.18937185715497
Pde1b,-1.32132714185979
C3,-1.7204307163078898
Smim5,2.11311520489973
Sft2d1,-0.9624790050933629
Fam110c,-2.4704606661949
Sema3c,1.16326228590224
Bex4,2.23326550177976
P2ry14,-2.30892021736407
Frmd4b,-1.09941366231763
Mtpn,-0.69947600550188
B3galt1,1.50186814736049
Ap1s2,-0.8357319760469308
Gne,0.82388653397387
Abi3,-1.0558063180989
Stk10,-0.9622137573820141
Il7r,-4.41129267042305
Adgrg6,-1.40545013949597
Gba,-1.27549269066524
Mcam,1.06330149012667
Cacna1g,1.51760893472017
Parvb,-1.74749690144746
Galnt7,-1.7839447597952602
Atp13a2,-1.88618761836666
Myo5a,-1.4320110679490101
Capg,-2.9337765551724497
Tnfrsf9,-4.281851849977721
Cadm1,-1.9406155593840502
Efhc2,2.37150183880285
Pik3r5,-3.21196314363608
Herc3,0.821897864500455
Tuba1c,-1.5449896695538798
Tmem110,1.03168059796756
Scx,-1.4252834836484
Oas1g,-2.44139549332556
Pnck,1.48538210144
Madd,-0.9171185926737758
Nyap1,1.79141250557002
Hdac9,1.20296066954051
Lilr4b,-4.740467378556531
Il33,-1.0638707999286998
Cyfip1,-0.849050824267239
P2rx4,-1.9424506538383202
Txnrd1,-1.08472663381179
Lfng,-1.3029099319576598
Smap2,-0.8283770579144009
Rin3,-1.60885371925851
Aim1,-0.991088448721928
Npc2,-1.06542133975353
Arrb2,-1.8872701641560101
Emc8-1190005i06rik,-4.536342082579269
Ctsz,-1.85008011366599
Ric3,0.9127544211573849
Ccl12,-2.5826384876847004
Tmem47,1.2442935728876299
Moxd1,-2.44678777267871
1700017B05Rik,-1.1644993177523502
Ssh3,-0.8181664161805359
Zfand2a,-1.10109218177028
Gpr165,2.3776663724017
1190005I06Rik,1.72342598855376
E2f1,-1.16179896915391
Pdxk,-0.7011079366683841
Steap4,-1.1072952583048798
Btk,-2.82649045361217
Rilpl2,-1.3687333066176
