term	common	ctrl_t0_green_VS_ctrl_t0_red_FC	ctrl_t0_red_VS_ctrl_t0_blue_FC	ctrl_t1_green_VS_ctrl_t1_red_FC	ctrl_t1_red_VS_ctrl_t1_blue_FC	treatment_t0_green_VS_treatment_t0_red_FC	treatment_t0_red_VS_treatment_t0_blue_FC	treatment_t1_green_VS_treatment_t1_blue_FC	treatment_t1_green_VS_treatment_t1_red_FC	treatment_t1_red_VS_treatment_t1_blue_FC
contractile fiber	{'Cacna1c', 'Ppp1r12b', 'Myl9', 'Npnt', 'Ank2', 'Svil', 'Mef2c', 'Myh11', 'Myom1', 'Nexn', 'Synpo2', 'Dmd', 'Pdlim3', 'Ky', 'Fbxl22', 'Ppp1r12a', 'Sphkap', 'Slmap'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.27e-15	3.7600000000000003e-07
cortical actin cytoskeleton	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0035	1.0	1.0
cortical cytoskeleton	{'Mpp1', 'Tpm4', 'Sele', 'Pstpip1', 'Myo1f', 'Inpp5d', 'Cfl1', 'Myo1e', 'Actr2', 'Tpm3', 'Lasp1'}	1.0	1.0	1.0	1.0	1.0	1.0	1.24e-05	1.0	0.0042
costamere	{'Ank2', 'Dmd', 'Svil'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00075	0.0483
cytochrome complex	{'n/a (just one condition)'}	1.0	0.0073	1.0	1.0	1.0	1.0	1.0	1.0	1.0
cytolytic granule	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0316
cytoplasm	{'No common gene'}	0.0336	1.15e-12	1.0	1.0	0.00081	1.0	6.91e-06	7.390000000000001e-11	0.0024
cytoplasmic region	{'Phldb2', 'Wls'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0093	0.0018	1.0
cytoplasmic side of membrane	{'Fgr', 'Rgs1', 'Snx5', 'Atp2b1', 'Matk', 'Abl2', 'Gm2a', 'Ptpn1', 'Gngt2', 'Grb2', 'Syk', 'Hck', 'Fes', 'Iqgap1', 'Stac2', 'Tec', 'Litaf'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0015	1.0	1.8100000000000006e-05
cytoplasmic side of plasma membrane	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0011	0.00011	6.42e-06
cytoplasmic vesicle	{'Unc93b1', 'Abcg1', 'Lyz2', 'Cd68', 'Cybb', 'Hck', 'Slc11a1'}	1.0	1.0	1.0	0.0034	0.00021	0.0024	3.92e-18	1.07e-06	2.4800000000000003e-25
cytoplasmic vesicle membrane	{'Pi4k2a', 'Dab2', 'Rab7b', 'Myof', 'Rab31', 'Rab8b', 'Moxd1', 'Cemip', 'Lamp2', 'Tlr2', 'Selp', 'Slc11a1', 'Snx5', 'Cd38', 'Gpnmb', 'Anxa1', 'Adam8', 'Ap1s2', 'Atp6v0a1', 'Rab11fip5'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0101	1.0	0.0021
cytoskeleton	{'Myl9', 'Pkp4', 'Ank2', 'Ctnna3', 'Ky', 'Tnik', 'Sept6', 'Slmap', 'Myh10', 'Rock1', 'Bex4', 'Enah', 'Myom1', 'Cdc42ep3', 'Myh11', 'Ift81', 'Mylk', 'Pdlim3', 'Sgcg', 'Tacc2', 'Cobl', 'Slc8a2', 'Dstn', 'Gpsm2', 'Nexn', 'Fgf13', 'Svil', 'Synpo2', 'Dmd', 'Ppp1r12a', 'Sntg2'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	7.4e-08	0.0258
cytosol	{'Fgr', 'Pik3ap1', 'Oas3', 'Irf9', 'Ncf1', 'Baiap2', 'Cyth1', 'Lcp1', 'Trim25', 'Ncf4', 'Myo7a', 'Parp14', 'Ncf2', 'Bcl3', 'Btk', 'Il1b', 'Mt2', 'Mnda', 'Hcls1', 'Nt5e', 'Irf7', 'Cmip', 'Alox5ap', 'Inpp5d', 'Syk', 'Hck', 'Ralgds', 'Prkch', 'Lyn', 'Nos2', 'Jak3', 'Adap2', 'Cdkn1a', 'Apod', 'Oas1a', 'Xdh', 'Ifi30', 'Stac2', 'Ifi204', 'Oas2', 'Slc3a2', 'Nfatc2', 'Ddi2', 'Mt1', 'Plcg2', 'Rasa4', 'Lcn2', 'Rps6ka1', 'Runx3', 'Nfkb2', 'Fes', 'Man1a', 'Nos1', 'Socs3', 'Stxbp2', 'Ifi205'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0143	0.0001
dendrite	{'No common gene'}	1.0	1.0	1.0	1.0	0.0149	1.0	0.0451	1.41e-07	9.63e-07
dendritic shaft	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0202	1.0
dendritic spine	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0391
dense core granule	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0413	1.0
desmosome	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0193	1.0
discoidal high-density lipoprotein particle	{'n/a (just one condition)'}	1.0	0.0023	1.0	1.0	1.0	1.0	1.0	1.0	1.0
distal axon	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0041	1.0
dystrophin-associated glycoprotein complex	{'Dtna', 'Sspn', 'Dmd', 'Sgcg'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.6899999999999997e-05	0.00043
early endosome	{'Pi4k2a', 'Wdr91', 'Snx8', 'Havcr2', 'Snx1', 'Rab31', 'F2r', 'Anxa2', 'Rftn1', 'Atp6v0d2', 'Tlr4', 'Vcam1', 'Mcoln3', 'Lrp1', 'Ptpn1', 'Ehd4', 'Litaf', 'Snx5', 'Rasgef1b', 'Myo5a', 'Rab29', 'Anxa1', 'Igf2r', 'Ctss', 'Rab11fip5'}	1.0	1.0	1.0	1.0	1.0	1.0	5.5100000000000004e-05	1.0	1.21e-09
early endosome membrane	{'Pi4k2a', 'Snx5', 'Wdr91', 'Mcoln3', 'Snx8', 'Litaf', 'Ehd4', 'Snx1', 'Anxa1', 'Rab11fip5'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0104	1.0	0.0053
early phagosome	{'Unc93b1', 'Syk', 'Tlr9'}	1.0	1.0	1.0	1.0	0.0106	0.0028	1.0	0.0012	0.0144
endocytic vesicle	{'Slc11a1', 'Unc93b1', 'Cybb'}	1.0	1.0	1.0	0.0037	2.44e-05	0.0009	6.1e-06	3.07e-05	2.67e-10
endocytic vesicle membrane	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.44e-05
endomembrane system	{'No common gene'}	1.0	1.0	1.0	0.0113	0.0042	0.0089	3.4299999999999996e-23	3.8e-05	2.6199999999999998e-23
endoplasmic reticulum	{'Unc93b1', 'Cybb', 'Lyz2'}	1.0	1.0	1.0	1.0	0.0161	0.0208	8.069999999999999e-10	0.00015	1.27e-09
endoplasmic reticulum chaperone complex	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0084
endoplasmic reticulum lumen	{'P4ha3', 'Sdf2l1', 'Ngf', 'Lyz2', 'Lyz1', 'Edn1', 'Colgalt1', 'Erp29'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0005099999999999999	1.0	0.00091
endoplasmic reticulum membrane	{'Unc93b1', 'Sdf2l1', 'Alox5ap', 'Ch25h'}	1.0	1.0	1.0	1.0	1.0	1.0	0.00054	0.0023	0.00013000000000000002
endoplasmic reticulum subcompartment	{'Unc93b1', 'Sdf2l1', 'Alox5ap', 'Ch25h'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0006	0.0026	0.00016
endoplasmic reticulum-Golgi intermediate compartment	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.012	1.0	1.0
endosome	{'Unc93b1', 'Fcgr2b', 'Abcg1', 'Cd68', 'Slc11a1'}	1.0	1.0	1.0	1.0	0.0032	0.0171	3.12e-09	0.0176	3.6299999999999994e-15
endosome lumen	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0322	1.0	1.0
endosome membrane	{'Pi4k2a', 'Wdr91', 'Snx8', 'Cd68', 'Ncf4', 'Snx1', 'Anxa2', 'Plekhm2', 'Mcoln2', 'Lamp2', 'Slc29a3', 'Mcoln3', 'Anxa8', 'Npc1', 'Ehd4', 'Slc11a1', 'Tpcn2', 'Litaf', 'Tlr13', 'Snx5', 'Rap2a', 'Arl8a', 'Rap2b', 'Cd63', 'Anxa1', 'Rhov', 'Steap3', 'Rab11fip5'}	1.0	1.0	1.0	1.0	1.0	1.0	6.6e-05	1.0	2.34e-06
external side of plasma membrane	{'Abcg1'}	1.0	1.0	1.0	1.08e-06	5.92e-08	0.0074	1.36e-15	4.24e-14	7.559999999999997e-26
extracellular exosome	{'Lamp2', 'Sdcbp', 'Cd63', 'Rap2b', 'Actg1', 'Fn1', 'Anxa1', 'Anxa2', 'Sdc1', 'Anpep', 'Clic1'}	1.0	1.0	1.0	1.0	1.0	1.0	2.660000000000001e-05	1.0	0.00033
extracellular matrix	{'No common gene'}	6.33e-30	5.68e-22	0.0236	1.0	3.1e-28	5.01e-25	1.94e-15	5.64e-07	3.7000000000000006e-06
extracellular organelle	{'Lamp2', 'Sdcbp', 'Rab29', 'Rap2b', 'Cd63', 'Actg1', 'Fn1', 'Anxa1', 'Anxa2', 'Sdc1', 'Anpep', 'Clic1'}	1.0	1.0	1.0	1.0	1.0	1.0	4.4299999999999986e-05	1.0	0.00025
extracellular region	{'No common gene'}	3.13e-42	6.7299999999999964e-37	1.0	0.00082	9.64e-38	6.029999999999997e-38	3.1999999999999996e-30	7.070000000000002e-07	0.00013000000000000002
extracellular space	{'No common gene'}	1.72e-11	4.7999999999999996e-11	1.0	0.0264	8.57e-16	0.00047999999999999996	2.0000000000000002e-20	2.33e-08	0.004
extracellular vesicle	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00028
extrinsic component of cytoplasmic side of plasma membrane	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.00057	6.61e-05	6.71e-06
extrinsic component of endosome membrane	{'Wdr91', 'Anxa1', 'Snx5'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0392	1.0	0.0189
extrinsic component of membrane	{'Fgr', 'Ncf1', 'Syk', 'Gngt2', 'Hck', 'Fes', 'Stac2', 'Bst1'}	1.0	1.0	1.0	1.0	1.0	1.0	8.909999999999997e-05	0.006999999999999999	5.05e-07
extrinsic component of plasma membrane	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0005	0.0403	4.67e-06
fascia adherens	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0026	1.0
fibrillar collagen trimer	{'Col1a1', 'Col3a1'}	1.0	1.0	1.0	1.0	0.0134	0.0034	9.990000000000004e-05	1.0	0.0035
filopodium	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0008699999999999999	0.0167
filopodium membrane	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0339	1.0
focal adhesion	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	0.0186	0.00053	0.00032	0.00037
growth cone	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0018	1.0
guanylate cyclase complex, soluble	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0426
hemidesmosome	{'Plec', 'Itgb4'}	1.0	1.0	1.0	1.0	1.0	0.0456	1.0	1.0	0.0189
high-density lipoprotein particle	{'No common gene'}	0.0098	1.1400000000000001e-05	0.00042	0.0029	0.0226	4.7799999999999996e-05	0.0206	0.0189	1.0
hippocampal mossy fiber	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0296	1.0
hippocampal mossy fiber expansion	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0371	1.0	1.0
immunological synapse	{'Havcr2', 'Icam1', 'Cd53', 'Cd37'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0493	0.0023
inflammasome complex	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.15e-05
inner mitochondrial membrane protein complex	{'Ndufa13', 'Cox7c', 'Ndufc1', 'Ndufa6', 'Ndufb5', 'Ndufs7'}	1.0	5.6599999999999994e-30	1.0	1.0	1.0	1.0	2.55e-05	1.0	1.0
integral component of endoplasmic reticulum membrane	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0355	0.0101	0.0477
integral component of lumenal side of endoplasmic reticulum membrane	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0319	1.0
integral component of membrane	{'No common gene'}	3.6799999999999996e-07	0.0161	1.0	9.209999999999998e-13	9.33e-23	7.63e-16	0.006999999999999999	1.6899999999999995e-20	0.0016
integral component of mitochondrial inner membrane	{'n/a (just one condition)'}	1.0	2.16e-07	1.0	1.0	1.0	1.0	1.0	1.0	1.0
integral component of mitochondrial membrane	{'n/a (just one condition)'}	1.0	5.46e-07	1.0	1.0	1.0	1.0	1.0	1.0	1.0
integral component of organelle membrane	{'No common gene'}	1.0	0.0014	1.0	1.0	1.0	1.0	0.005	0.0485	0.0179
integral component of plasma membrane	{'No common gene'}	0.002	1.0	1.0	0.0113	1.7e-07	0.00011999999999999999	2.16e-07	1.57e-08	0.0155
integral component of vacuolar membrane	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0213
integrin alpha9-beta1 complex	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0212	1.0
integrin complex	{'No common gene'}	1.0	1.0	1.0	1.0	0.0054	0.0054	0.0098	0.006999999999999999	0.00022
intercalated disc	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.63e-06	1.0
intermediate-density lipoprotein particle	{'Apoa1'}	1.0	0.0045	1.0	1.0	1.0	1.0	0.0191	1.0	1.0
interstitial matrix	{'Smoc2', 'Col14a1'}	0.0063	0.0052	1.0	1.0	0.0052	0.0091	1.0	1.0	1.0
intracellular	{'No common gene'}	1.0	4.320000000000001e-09	1.0	1.0	0.0014	1.0	0.00011	2.1e-08	0.0118
intracellular membrane-bounded organelle	{'No common gene'}	1.0	8.17e-08	1.0	1.0	0.0481	1.0	2.99e-06	0.00057	2.4e-05
intracellular non-membrane-bounded organelle	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.51e-05	1.0
intracellular organelle	{'No common gene'}	1.0	7.43e-07	1.0	1.0	0.0419	1.0	4.21e-08	0.0034	1.66e-07
intracellular organelle lumen	{'n/a (just one condition)'}	1.0	0.0082	1.0	1.0	1.0	1.0	1.0	1.0	1.0
intrinsic component of endoplasmic reticulum membrane	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0214	0.0047	0.0177
intrinsic component of external side of plasma membrane	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0371	1.0	1.0
intrinsic component of membrane	{'No common gene'}	1.3900000000000001e-07	0.0405	1.0	1.0	8.789999999999997e-25	9.85e-16	0.0062	5.88e-25	0.0018
intrinsic component of organelle membrane	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0028	0.0188	0.0139
intrinsic component of plasma membrane	{'No common gene'}	0.00065	1.0	1.0	1.0	1.1200000000000001e-08	6.27e-05	8.6e-08	3.4700000000000013e-11	0.0215
invadopodium	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0275	1.0	1.0
lamellar body	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0462
lamellipodium	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0104	0.00022	7.42e-06
lamellipodium membrane	{'Pdpn', 'Cfl1', 'Slc39a6', 'Cd44'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0177	1.0	0.0047
late endosome	{'Slc11a1', 'Rasgef1b'}	1.0	1.0	1.0	1.0	0.0181	1.0	3.11e-05	0.0385	7.21e-07
late endosome membrane	{'Lamp2', 'Slc29a3', 'Wdr91', 'Mcoln3', 'Anxa8', 'Arl8a', 'Cd63', 'Npc1', 'Anxa2', 'Litaf'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0061	1.0	0.0016
leading edge membrane	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0131	0.0124	0.0167
