ID	score	occurrence	all_genes	common_genes
Retrograde endocannabinoid signaling	1.3300000000000001e-15	2	Gng11,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufb9,Ndufc1,Ndufc2,Ndufs5,Ndufs7	Ndufa13,Ndufa6,Ndufb5,Ndufc1,Ndufs7
Cytokine-cytokine receptor interaction	1.63e-14	5	Acvr1b,Ccl12,Ccl2,Ccl3,Ccl4,Ccl6,Ccl7,Ccl8,Ccl9,Ccr1,Ccr2,Ccr5,Cd40,Cntfr,Crlf2,Csf1r,Csf2ra,Csf2rb,Csf2rb2,Csf3r,Cx3cl1,Cx3cr1,Cxcl1,Cxcl12,Cxcl13,Cxcl16,Cxcl2,Cxcl5,Cxcr3,Cxcr4,Egfr,Flt1,Flt3,Flt4,Hgf,Ifngr2,Il10ra,Il10rb,Il12rb2,Il13ra1,Il1a,Il1b,Il1r2,Il22ra2,Il3ra,Il4ra,Il6,Il6ra,Il7r,Inhba,Inhbb,Lif,Osm,Osmr,Pdgfa,Pdgfb,Pdgfc,Pdgfra,Tgfb1,Tgfb2,Tgfbr1,Tgfbr2,Tnf,Tnfrsf11a,Tnfrsf11b,Tnfrsf1a,Tnfrsf1b,Tnfrsf21,Tnfrsf9,Tnfsf13,Tnfsf8	Csf2rb2,Cxcl16,Tnfrsf1b
NOD-like receptor signaling pathway	1.75e-14	3	AI607873,Aim2,Card9,Casp1,Casp4,Casp8,Ccl12,Ccl2,Ctsb,Cxcl1,Cxcl2,Cyba,Cybb,Ifi204,Il1b,Il6,Irak4,Irf7,Irf9,Itpr3,Mefv,Myd88,Naip2,Naip5,Naip6,Nfkbia,Nlrc4,Nlrp1b,Nlrp3,Nod1,Oas1a,Oas1g,Oas2,Oas3,P2rx7,Panx1,Plcb2,Prkcd,Pstpip1,Ripk3,Stat1,Tlr4,Tmem173,Tnf,Tnfaip3,Trpm2,Trpv2,Txn1	Cybb,Mefv
Leishmaniasis	7.36e-13	6	C3,Cyba,Cybb,Fcgr1,Fcgr3,Fcgr4,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-Eb1,Ifngr2,Il1a,Il1b,Irak4,Itga4,Itgam,Itgb2,Myd88,Ncf1,Ncf2,Ncf4,Nfkbia,Nos2,Ptgs2,Ptpn6,Stat1,Tgfb1,Tgfb2,Tlr2,Tlr4,Tnf	Cybb,Itgb2
Chemokine signaling pathway	8.109999999999999e-13	5	Adcy3,Adcy4,Arrb1,Arrb2,Ccl12,Ccl2,Ccl3,Ccl4,Ccl6,Ccl7,Ccl8,Ccl9,Ccr1,Ccr2,Ccr5,Cx3cl1,Cx3cr1,Cxcl1,Cxcl12,Cxcl13,Cxcl16,Cxcl2,Cxcl5,Cxcr3,Cxcr4,Dock2,Elmo1,Fgr,Gngt2,Grb2,Hck,Jak3,Lyn,Ncf1,Nfkbia,Nras,Pik3cb,Pik3cd,Pik3r3,Plcb2,Prex1,Prkcd,Ptk2b,Rap1b,Shc2,Src,Stat1,Stat3,Vav1,Vav2,Vav3,Was	Cxcl16,Fgr,Hck
Staphylococcus aureus infection	1.05e-12	8	C1qa,C1qb,C1qc,C1ra,C1s1,C2,C3,C3ar1,C4b,C5ar1,Cfb,Cfd,Cfh,Cfi,Fcgr1,Fcgr3,Fcgr4,Fpr2,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-Eb1,Icam1,Itgam,Itgb2,Masp1,Ptafr,Selp,Selplg	No common gene
Complement and coagulation cascades	8.580000000000001e-12	8	C1qa,C1qb,C1qc,C1ra,C1s1,C2,C3,C3ar1,C4b,C5ar1,C6,Cd55,Cfb,Cfd,Cfh,Cfi,Clu,F10,F2r,F3,F5,F7,Itgam,Itgax,Itgb2,Masp1,Plat,Plau,Plaur,Procr,Serpine1,Serping1,Vwf	No common gene
Hematopoietic cell lineage	7.1e-11	4	Anpep,Cd14,Cd22,Cd33,Cd34,Cd37,Cd38,Cd44,Cd55,Cd9,Csf1r,Csf2ra,Csf3r,Fcgr1,Flt3,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-Eb1,Il1a,Il1b,Il1r2,Il3ra,Il4ra,Il6,Il6ra,Il7r,Itga2,Itga4,Itga5,Itga6,Itgam,Tnf	Csf1r,Itgam
Kaposi's sarcoma-associated herpesvirus infection	3.05e-10	3	Bak1,Bid,C3,Casp8,Ccnd1,Ccr1,Ccr5,Cd200r1,Cd86,Cdk6,Cdkn1a,Cxcl1,Cxcl2,E2f1,Gngt2,H2-D1,H2-K1,H2-M2,H2-M9,H2-Q8,H2-T23,H2-T24,Hck,Hif1a,Icam1,Il6,Irf7,Irf9,Itpr3,Lyn,Nfatc1,Nfatc2,Nfkbia,Nras,Pdgfb,Pik3cb,Pik3cd,Pik3cg,Pik3r3,Pik3r5,Plcg2,Prex1,Ptgs2,Rcan1,Src,Stat1,Stat3,Syk,Tnfrsf1a	Gngt2,Hck,Syk
NF-kappa B signaling pathway	5.41e-10	3	Bcl2a1b,Bcl2a1d,Blnk,Btk,Card10,Card14,Ccl4,Cd14,Cd40,Cxcl12,Cxcl2,Gadd45b,Icam1,Il1b,Irak4,Lbp,Lyn,Myd88,Nfkb2,Nfkbia,Plau,Plcg2,Ptgs2,Syk,Ticam2,Tlr4,Tnf,Tnfaip3,Tnfrsf11a,Tnfrsf1a,Trim25,Vcam1	Blnk,Cd14,Syk
Vascular smooth muscle contraction	6.130000000000001e-10	2	Acta2,Actg2,Adra1d,Cacna1c,Cacna1d,Cald1,Gucy1a3,Gucy1b3,Itpr1,Kcnma1,Kcnmb1,Mrvi1,Myh11,Myl6,Myl9,Mylk,Mylk2,Mylk4,Npr1,Pla2g4e,Plcb4,Ppp1cb,Ppp1r12a,Ppp1r12b,Prkg1,Ramp1,Rock1	Cacna1c,Gucy1a3,Gucy1b3,Kcnma1,Mrvi1,Myh11,Myl9,Mylk,Ppp1r12a,Ppp1r12b,Ramp1,Rock1
Malaria	1.4099999999999999e-09	4	Ccl12,Ccl2,Cd40,Hgf,Icam1,Il1b,Il6,Itgb2,Lrp1,Myd88,Sdc1,Sdc2,Sele,Selp,Tgfb1,Tgfb2,Thbs1,Thbs2,Tlr2,Tlr4,Tlr9,Tnf,Vcam1	Itgb2,Lrp1,Sele,Selp,Tlr2
Metabolic pathways	1.62e-09	3	Acer2,Acox3,Acp2,Acp5,Acsl4,Agpat4,Akr1a1,Akr1b8,Aldh18a1,Aldh1b1,Aldh3b1,Anpep,Aprt,Asah1,Ass1,Atp5e,Atp5h,Atp6ap1,Atp6v0a1,Atp6v0b,Atp6v0c,Atp6v0d1,Atp6v0d2,Atp6v0e,Atp6v1a,Atp6v1b2,Atp6v1c1,Atp6v1e1,B3gnt2,B3gnt3,B4galnt1,B4galt1,B4galt6,Bckdhb,Blvrb,Bst1,Cd38,Cers6,Chkb,Chpf2,Chsy1,Chsy3,Ckb,Cndp2,Coq7,Cox11,Cox6a1,Cox6c,Cox7c,Cox8a,Cox8b,Ctps,Cycs,Cyp2b10,Cyp2e1,Cyp4f18,Degs1,Degs2,Dgka,Dhrs9,Dnmt3a,Dse,Enpp1,Ext1,Fah,Galc,Galns,Galnt10,Galnt12,Galnt15,Galnt6,Galnt7,Ganc,Gatm,Gba,Gcnt1,Gcnt4,Gda,Gk,Glb1,Gnpda1,Gns,Gusb,H2-Ke6,Hexa,Hexb,Hk3,Hmox1,Hpgds,Hpse,Hsd3b7,Lipg,Lpcat2,Man1a,Man1c1,Man2a1,Maob,Mcee,Mgat5,Mlycd,Mthfsl,Nagk,Naglu,Nans,Ndst2,Ndufa1,Ndufa12,Ndufa13,Ndufa2,Ndufa3,Ndufa6,Ndufa8,Ndufb10,Ndufb11,Ndufb2,Ndufb5,Ndufb6,Ndufb7,Ndufb9,Ndufc1,Ndufc2,Ndufs5,Ndufs7,Nnt,Nos1,Nos2,Nt5e,P4ha1,P4ha3,Pcyt2,Pdxk,Pgm1,Pgp,Pgs1,Pi4k2a,Pigs,Pip5k1c,Pla2g2d,Pla2g4a,Pla2g7,Plcb2,Plcg2,Pld3,Pld4,Plpp2,Pnp,Ppcs,Ppt1,Prodh,Ptgs2,Pygm,Sat1,Scly,Sgms2,Sgpl1,Sgsh,Sphk1,Sptlc2,St3gal1,St3gal5,St6galnac4,Suox,Tbxas1,Tcirg1,Uap1l1,Ugt1a7c,Upp1,Uqcr11,Xdh,Xylt1,Xylt2	No common gene
Proteoglycans in cancer	2.3399999999999998e-09	6	Actb,Actg1,Ank2,Camk2a,Camk2g,Cav3,Ccnd1,Cd44,Cd63,Cdkn1a,Col1a1,Col1a2,Ctsl,Dcn,Egfr,Erbb4,Flna,Fn1,Fzd1,Fzd4,Fzd7,Gpc1,Gpc3,Grb2,Hbegf,Hcls1,Hgf,Hif1a,Hpse,Igf1,Ihh,Iqgap1,Itga2,Itga5,Itgav,Itgb1,Itpr1,Itpr3,Lum,Mmp2,Msn,Nras,Pik3cb,Pik3cd,Pik3r3,Plau,Plaur,Plce1,Plcg2,Ppp1cb,Ppp1r12a,Ppp1r12b,Ptch1,Ptpn6,Rock1,Sdc1,Sdc2,Src,Stat3,Tgfb1,Tgfb2,Thbs1,Tiam1,Tlr2,Tlr4,Tnf,Vav2,Wnt16,Wnt2b,Wnt5a,Wnt9b	No common gene
Herpes simplex infection	2.9399999999999998e-09	2	C3,Casp8,Ccl12,Ccl2,Cd74,Cdc34,Cfp,H2-Aa,H2-Ab1,H2-D1,H2-DMa,H2-DMb1,H2-Eb1,H2-K1,H2-M2,H2-M9,H2-Q8,H2-T23,H2-T24,Ifit1,Il1b,Il6,Irf7,Irf9,Myd88,Nectin2,Nfkbia,Oas1a,Oas1g,Oas2,Oas3,Pilra,Socs3,Stat1,Taf10,Tlr2,Tlr9,Tnf,Tnfrsf1a	C3,Cd74,Cfp,H2-Aa,H2-Ab1,H2-D1,H2-DMa,H2-DMb1,H2-Eb1,H2-K1,Il1b,Irf7,Irf9,Oas1a,Oas2,Oas3,Socs3,Tlr9
Pertussis	3.4899999999999997e-09	8	C1qa,C1qb,C1qc,C1ra,C1s1,C2,C3,C4b,Calml4,Casp1,Cd14,Cfl1,Cxcl5,Il1a,Il1b,Il6,Irak4,Irf8,Itga5,Itgam,Itgb2,Myd88,Nlrp3,Nod1,Nos2,Serping1,Ticam2,Tlr4,Tnf	No common gene
PI3K-Akt signaling pathway	5.2900000000000006e-09	7	Angpt1,Bcl2l11,Bdnf,Ccnd1,Cdk6,Cdkn1a,Chad,Col1a1,Col1a2,Col2a1,Col4a3,Col4a4,Col4a5,Col4a6,Col6a1,Col6a3,Col6a4,Col6a5,Col6a6,Creb3l1,Creb5,Csf1r,Csf3r,Efna5,Egfr,Eif4ebp1,Epha2,Ereg,F2r,Fgf1,Fgf18,Fgf7,Fgfr2,Fgfr3,Flt1,Flt3,Flt4,Fn1,Foxo3,Gnb4,Gng8,Gngt2,Grb2,Hgf,Ibsp,Igf1,Il3ra,Il4ra,Il6,Il6ra,Il7r,Itga11,Itga2,Itga4,Itga5,Itga6,Itga8,Itga9,Itgav,Itgb1,Itgb4,Jak3,Lama2,Lamb1,Lpar1,Lpar5,Mcl1,Ngf,Nras,Ntf3,Osm,Osmr,Pdgfa,Pdgfb,Pdgfc,Pdgfd,Pdgfra,Pik3ap1,Pik3cb,Pik3cd,Pik3cg,Pik3r3,Pik3r5,Reln,Sgk1,Spp1,Syk,Thbs1,Thbs2,Tlr2,Tlr4,Tnn,Vegfd,Vwf,Ywhah	No common gene
Toll-like receptor signaling pathway	5.2900000000000006e-09	3	Casp8,Ccl3,Ccl4,Cd14,Cd40,Cd80,Cd86,Ctsk,Il1b,Il6,Irak4,Irf5,Irf7,Lbp,Myd88,Nfkbia,Pik3cb,Pik3cd,Pik3r3,Spp1,Stat1,Ticam2,Tlr1,Tlr2,Tlr4,Tlr6,Tlr7,Tlr8,Tlr9,Tnf	Cd14,Irf5,Tlr8
Natural killer cell mediated cytotoxicity	1.22e-08	5	Bid,Cd244,Cd48,Fcer1g,Fcgr4,Grb2,H2-D1,H2-K1,H2-T23,Hcst,Icam1,Ifngr2,Itgb2,Nfatc1,Nfatc2,Nras,Pik3cb,Pik3cd,Pik3r3,Plcg2,Ptk2b,Ptpn6,Sh3bp2,Shc2,Syk,Tnf,Tyrobp,Ulbp1,Vav1,Vav2,Vav3	Itgb2,Tyrobp
B cell receptor signaling pathway	1.78e-08	4	Blnk,Btk,Cd22,Cd72,Grb2,Ifitm1,Inpp5d,Lyn,Nfatc1,Nfatc2,Nfkbia,Nfkbie,Nras,Pik3ap1,Pik3cb,Pik3cd,Pik3r3,Pirb,Plcg2,Ptpn6,Rasgrp3,Syk,Vav1,Vav2,Vav3	Cd72,Pik3ap1,Pirb
Influenza A	1.85e-08	2	Actg1,Adar,Casp1,Ccl12,Ccl2,Ciita,Furin,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-Eb1,Icam1,Il1a,Il1b,Il33,Il6,Irak4,Irf7,Irf9,Myd88,Nfkbia,Nlrp3,Oas1a,Oas1g,Oas2,Oas3,Pik3cb,Pik3cd,Socs3,Stat1,Tlr4,Tlr7,Tnf,Tnfrsf1a,Trim25	Ciita,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-Eb1,Icam1,Il1b,Irf7,Irf9,Oas1a,Oas2,Oas3,Socs3,Tlr7,Trim25
Oxytocin signaling pathway	2.5099999999999996e-08	2	Actg1,Cacna1c,Cacna1d,Cacna2d1,Cacnb2,Camk1d,Camk2g,Camk4,Ccnd1,Cd38,Cdkn1a,Gucy1a3,Gucy1b3,Itpr1,Itpr3,Kcnj2,Mef2c,Myl6,Myl9,Mylk,Mylk2,Mylk4,Nfatc1,Nfatc2,Npr1,Nras,Pik3cg,Pik3r5,Pla2g4e,Plcb2,Plcb4,Ppp1cb,Ppp1r12a,Ppp1r12b,Prkaa2,Ptgs2,Rcan1,Rock1,Trpm2	No common gene
cGMP-PKG signaling pathway	2.5099999999999996e-08	2	Adra1d,Atp1b2,Atp2b4,Cacna1c,Cacna1d,Creb5,Gucy1a3,Gucy1b3,Itpr1,Kcnma1,Kcnmb1,Mef2c,Mrvi1,Myl9,Mylk,Mylk2,Mylk4,Npr1,Pde5a,Plcb4,Ppp1cb,Ppp1r12a,Prkg1,Rock1,Slc8a1,Slc8a2	Atp1b2,Cacna1c,Gucy1a3,Gucy1b3,Kcnma1,Mef2c,Mrvi1,Myl9,Mylk,Pde5a,Ppp1r12a,Rock1,Slc8a2
Salmonella infection	2.9100000000000002e-08	2	Actb,Actg1,Arpc1b,Arpc2,Arpc3,Arpc4,Arpc5,Casp1,Ccl3,Ccl4,Cd14,Cxcl1,Cxcl2,Ifngr2,Il1a,Il1b,Il6,Lbp,Myd88,Nlrc4,Nos2,Plekhm2,Rab7b,Rhog,Tlr4,Was	Actg1,Arpc1b,Arpc4,Arpc5,Ccl3,Ccl4,Cd14,Cxcl1,Il1a,Plekhm2,Rab7b,Rhog,Tlr4
Regulation of actin cytoskeleton	3.4500000000000005e-08	4	Actb,Actg1,Actn1,Arpc1b,Arpc2,Arpc3,Arpc4,Arpc5,Baiap2,Cd14,Cfl1,Cyfip1,Diaph1,Egfr,Enah,F2r,Fgd3,Fgf1,Fgf18,Fgf7,Fgfr2,Fn1,Gna13,Gsn,Iqgap1,Iqgap2,Iqgap3,Itga11,Itga2,Itga4,Itga5,Itga6,Itga8,Itga9,Itgam,Itgav,Itgax,Itgb1,Itgb2,Itgb4,Msn,Myh10,Myh9,Myl9,Mylk,Mylk2,Mylk4,Nckap1l,Nras,Pak6,Pdgfa,Pdgfb,Pdgfc,Pdgfd,Pdgfra,Pik3cb,Pik3cd,Pik3r3,Pip4k2a,Pip5k1b,Pip5k1c,Ppp1cb,Ppp1r12a,Ppp1r12b,Rock1,Src,Ssh3,Tmsb4x,Vav1,Vav2,Vav3,Vcl,Was	No common gene
Apoptosis	3.4500000000000005e-08	3	Actb,Actg1,Bak1,Bcl2a1b,Bcl2a1d,Bcl2l11,Bid,Casp8,Csf2rb,Csf2rb2,Ctsb,Ctsc,Ctsd,Ctsh,Ctsk,Ctsl,Ctss,Ctsz,Ern1,Gadd45a,Gadd45b,Il3ra,Itpr3,Lmna,Mcl1,Ngf,Nras,Pik3cb,Pik3cd,Pik3r3,Pmaip1,Tnf,Tnfrsf1a,Tuba1c	Bcl2a1b,Csf2rb,Csf2rb2,Ctsl,Ctss,Ctsz
TNF signaling pathway	8.03e-08	3	Bcl3,Casp8,Ccl12,Ccl2,Creb3l1,Cx3cl1,Cxcl1,Cxcl2,Edn1,Icam1,Il1b,Il6,Junb,Lif,Mmp14,Mmp3,Pik3cb,Pik3cd,Pik3r3,Ptgs2,Ripk3,Sele,Socs3,Tnf,Tnfaip3,Tnfrsf1a,Tnfrsf1b,Vcam1	Mmp14,Sele,Socs3,Tnfaip3,Tnfrsf1b
AGE-RAGE signaling pathway in diabetic complications	8.03e-08	7	Ccl12,Ccl2,Ccnd1,Col1a1,Col1a2,Col3a1,Col4a3,Col4a4,Col4a5,Col4a6,Cybb,Diaph1,Edn1,F3,Fn1,Foxo1,Icam1,Il1a,Il1b,Il6,Mmp2,Nfatc1,Nras,Pik3cb,Pik3cd,Pik3r3,Pim1,Plcb2,Plce1,Plcg2,Prkcd,Sele,Serpine1,Stat1,Stat3,Tgfb1,Tgfb2,Tgfb3,Tgfbr1,Tgfbr2,Tnf,Vcam1,Vegfd	No common gene
Chagas disease (American trypanosomiasis)	8.97e-08	5	Ace,C1qa,C1qb,C1qc,C3,Calr,Casp8,Ccl12,Ccl2,Ccl3,Gna15,Ifngr2,Il1b,Il6,Irak4,Myd88,Nfkbia,Nos2,Pik3cb,Pik3cd,Pik3r3,Plcb2,Serpine1,Tgfb1,Tgfb2,Tgfbr1,Tgfbr2,Tlr2,Tlr4,Tlr6,Tlr9,Tnf,Tnfrsf1a	C1qb,C1qc
Legionellosis	1e-07	3	C3,Casp1,Casp8,Cd14,Cxcl1,Cxcl2,Il1b,Il6,Itgam,Itgb2,Myd88,Naip2,Naip5,Naip6,Nfkb2,Nfkbia,Nlrc4,Tlr2,Tlr4,Tnf	Cd14,Itgam,Itgb2
Th1 and Th2 cell differentiation	2.01e-07	2	Dll4,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-Eb1,Il4ra,Jag2,Jak3,Nfatc1,Nfatc2,Nfkbia,Nfkbie,Notch1,Runx3,Stat1	Dll4,H2-Aa,H2-Ab1,H2-DMa,H2-DMb1,H2-Eb1,Il4ra,Jak3,Nfatc1,Nfatc2,Runx3
Focal adhesion	4.1299999999999995e-07	8	Actb,Actg1,Actn1,Cav3,Ccnd1,Chad,Col1a1,Col1a2,Col2a1,Col4a3,Col4a4,Col4a5,Col4a6,Col6a1,Col6a3,Col6a4,Col6a5,Col6a6,Diaph1,Egfr,Flna,Fn1,Grb2,Hgf,Ibsp,Igf1,Itga11,Itga2,Itga4,Itga5,Itga6,Itga8,Itga9,Itgav,Itgb1,Itgb4,Lama2,Lamb1,Myl9,Mylk,Mylk2,Mylk4,Pak6,Parvb,Pdgfa,Pdgfb,Pdgfc,Pdgfd,Pdgfra,Pik3cb,Pik3cd,Pik3r3,Pip5k1c,Ppp1cb,Ppp1r12a,Ppp1r12b,Rap1b,Reln,Rock1,Shc2,Spp1,Src,Thbs1,Thbs2,Tnn,Vav1,Vav2,Vav3,Vcl,Vegfd,Vwf	No common gene
Cell adhesion molecules (CAMs)	5.389999999999999e-07	5	Alcam,Cadm1,Cadm3,Cd22,Cd276,Cd34,Cd40,Cd80,Cd86,Cdh5,Esam,Glg1,H2-Aa,H2-Ab1,H2-D1,H2-DMa,H2-DMb1,H2-Eb1,H2-K1,H2-M2,H2-M9,H2-Q8,H2-T23,H2-T24,Icam1,Itga4,Itga6,Itgam,Itgb2,Mag,Nectin2,Nfasc,Nrxn2,Ptprf,Sdc1,Sdc3,Sele,Selp,Selplg,Siglec1,Vcam1	Itgb2
ECM-receptor interaction	6.1e-07	7	Cd44,Cd47,Chad,Col1a1,Col1a2,Col2a1,Col4a3,Col4a4,Col4a5,Col4a6,Col6a1,Col6a3,Col6a4,Col6a5,Col6a6,Fn1,Ibsp,Itga11,Itga2,Itga4,Itga5,Itga6,Itga8,Itga9,Itgav,Itgb1,Itgb4,Lama2,Lamb1,Npnt,Reln,Sdc1,Spp1,Thbs1,Thbs2,Tnn,Vwf	No common gene
