term	common	ctrl_t0_green_VS_ctrl_t0_red_FC	ctrl_t0_red_VS_ctrl_t0_blue_FC	ctrl_t1_green_VS_ctrl_t1_red_FC	ctrl_t1_red_VS_ctrl_t1_blue_FC	treatment_t0_green_VS_treatment_t0_red_FC	treatment_t0_red_VS_treatment_t0_blue_FC	treatment_t1_green_VS_treatment_t1_blue_FC	treatment_t1_green_VS_treatment_t1_red_FC	treatment_t1_red_VS_treatment_t1_blue_FC
MyD88-dependent toll-like receptor signaling pathway	{'Tlr13'}	1.0	1.0	1.0	1.0	1.0	0.0108	0.0305	0.0008699999999999999	5.44e-06
MyD88-independent toll-like receptor signaling pathway	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0147
N-acetylglucosamine metabolic process	{'Gnpda1', 'Hexb', 'Chst2', 'Renbp', 'Nagk'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0067	1.0	0.005
N-acetylneuraminate catabolic process	{'Npl', 'Renbp', 'Nagk'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0111	1.0	0.0033
N-acetylneuraminate metabolic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0068
N-terminal peptidyl-methionine acetylation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0484	1.0	1.0	1.0	1.0
N-terminal protein amino acid acetylation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0475	1.0	1.0	1.0	1.0
NADP catabolic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0352	1.0
NIK/NF-kappaB signaling	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.026000000000000002	1.0
Notch receptor processing	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0306
Notch signaling involved in heart development	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0107	1.0
Notch signaling pathway	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0296	1.0
PMA-inducible membrane protein ectodomain proteolysis	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0142
Rac protein signal transduction	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0387
Rap protein signal transduction	{'Rap1b', 'Rap2b', 'Rap2a'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0423	1.0	0.0194
Ras protein signal transduction	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00043
SMAD protein signal transduction	{'Nceh1', 'Gdf6'}	1.0	1.0	1.0	1.0	0.0053	0.0422	0.0042	1.0	1.0
T cell activation	{'Slc11a1', 'Syk', 'Lcp1', 'Itgb2'}	1.0	1.0	1.0	1.0	0.0053	0.0424	0.00078	0.00013000000000000002	1.94e-11
T cell activation involved in immune response	{'Slc11a1', 'Lcp1'}	1.0	1.0	1.0	0.0276	1.0	0.0345	1.0	0.0205	8.149999999999999e-05
T cell antigen processing and presentation	{'Icam1', 'Treml4'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0352	0.0219
T cell chemotaxis	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0038
T cell differentiation	{'Syk', 'Fcer1g', 'Mafb'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0448	0.0011	0.0409
T cell differentiation involved in immune response	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.003
T cell homeostasis	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0034
T cell mediated immunity	{'Slc11a1', 'Icam1', 'Ctsc'}	1.0	1.0	1.0	1.0	0.043	1.0	1.0	1.0	0.0124
T cell migration	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00016999999999999999
T cell proliferation	{'Slc11a1', 'Itgam', 'P2rx7', 'Itgb2'}	1.0	1.0	1.0	1.0	0.017	1.0	0.0408	1.0	0.0077
T cell selection	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.011000000000000001
T-helper 17 cell lineage commitment	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0027
T-helper cell differentiation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.04
TOR signaling	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0214	1.0
TRIF-dependent toll-like receptor signaling pathway	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0219
Wnt signaling pathway	{'Cpz', 'Dact1'}	0.0291	1.0	1.0	1.0	0.0276	1.0	1.0	0.0242	0.00045999999999999996
Wnt signaling pathway involved in somitogenesis	{'n/a (just one condition)'}	0.0096	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
acetyl-CoA metabolic process	{'n/a (just one condition)'}	1.0	0.023	1.0	1.0	1.0	1.0	1.0	1.0	1.0
actin crosslink formation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0266	1.0
actin cytoskeleton organization	{'No common gene'}	1.0	1.0	1.0	1.0	0.0073	1.0	2.19e-07	1.9600000000000002e-05	0.0111
actin cytoskeleton reorganization	{'Plek', 'Rap2a', 'Ptk7', 'S1pr2', 'Ptpn1', 'Anxa1', 'Micall2'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0226	1.0	0.008
actin filament bundle assembly	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0443	0.0095
actin filament bundle organization	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0047
actin filament network formation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0251	1.0
actin filament organization	{'No common gene'}	1.0	1.0	1.0	1.0	0.0166	1.0	3.1e-05	0.0002	0.0042
actin filament polymerization	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0051
actin filament-based movement	{'No common gene'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.07e-06	0.0372
actin filament-based process	{'No common gene'}	1.0	1.0	1.0	1.0	0.0027	0.0235	2.06e-08	4.32e-08	0.0019
actin nucleation	{'Arpc5', 'Fmn1', 'Arpc4', 'Actr3', 'Arpc1b', 'Evl', 'Actr2'}	1.0	1.0	1.0	1.0	1.0	1.0	0.00043	1.0	0.0006799999999999999
actin polymerization or depolymerization	{'Hcls1', 'Arpc4', 'Evl', 'Cfl1', 'Micall2'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0012	1.0	0.0287
actin-mediated cell contraction	{'Cacna1c', 'Ank2', 'Kcnd3', 'Cacnb2', 'Rock1'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.19e-06	0.0397
action potential	{'Cacna1c', 'Nalcn', 'Ank2', 'Kcnd3', 'Dmd', 'Cacnb2', 'Kcnma1'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00023999999999999998	0.0322
activated T cell proliferation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0099	1.0	1.0	1.0	1.0
activation of JUN kinase activity	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0281
activation of MAPK activity	{'P2rx7', 'Syk', 'Shc2', 'Hgf'}	1.0	1.0	1.0	1.0	0.0177	1.0	0.0136	1.0	0.00047999999999999996
activation of NF-kappaB-inducing kinase activity	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0395	1.0
activation of cysteine-type endopeptidase activity involved in apoptotic process	{'Xdh'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0429	0.00054
activation of immune response	{'Nfam1'}	1.0	0.0153	1.0	1.08e-06	3.6700000000000004e-07	3.03e-09	1.35e-06	7.28e-15	4.85e-19
activation of innate immune response	{'Pik3ap1', 'Cd300lf', 'Tlr13', 'Unc93b1', 'Tlr8', 'Tlr7', 'Cd14', 'Havcr2', 'Tlr9', 'Tmem173', 'Tlr1', 'Scarb1'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.93e-07	7.27e-11
activation of phospholipase C activity	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0341	1.0	1.0	1.0	1.0
activation of protein kinase B activity	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0202
activation of protein kinase activity	{'No common gene'}	1.0	1.0	1.0	1.0	0.0189	1.0	5.6399999999999995e-05	0.0224	8.97e-07
activin receptor signaling pathway	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0049	1.0	1.0
actomyosin structure organization	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0138
acute inflammatory response	{'No common gene'}	1.0	1.0	1.0	0.0445	1.0	0.0174	0.0241	0.0012	2.1899999999999997e-05
acute inflammatory response to antigenic stimulus	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0266	1.0
acute-phase response	{'Saa3', 'Serpina3n', 'Il1b', 'Lbp'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0049	0.00016
acyl-CoA metabolic process	{'n/a (just one condition)'}	1.0	0.0333	1.0	1.0	1.0	1.0	1.0	1.0	1.0
acylglycerol catabolic process	{'n/a (just one condition)'}	1.0	0.0135	1.0	1.0	1.0	1.0	1.0	1.0	1.0
acylglycerol metabolic process	{'n/a (just one condition)'}	1.0	0.0343	1.0	1.0	1.0	1.0	1.0	1.0	1.0
adaptive immune response	{'Unc93b1', 'C1qb', 'C1qc', 'Slc11a1', 'Pirb'}	1.0	1.0	1.0	7e-09	1.03e-06	2.8599999999999998e-08	1.08e-10	9.960000000000002e-12	2.16e-21
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	{'No common gene'}	0.0116	1.0	1.0	2.63e-07	7.28e-08	9.7e-07	1.02e-06	1.36e-10	6.31e-14
adhesion of symbiont to host	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0194	1.0
adult locomotory behavior	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0373	1.0	1.0
adult walking behavior	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0352	1.0	1.0
aging	{'Dnmt3a', 'Atp2b1', 'Cln8', 'Ctsc', 'Ctsl', 'Mmp2', 'Tnfrsf1b', 'Ptgs2', 'Ccl2', 'Edn1', 'Inpp5d', 'Grb2', 'Hmga1', 'Tgfb1', 'Igfbp2', 'Ucp2', 'Litaf'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0016	1.0	0.0081
alcohol metabolic process	{'Gba', 'Fgl1', 'Apobr', 'Ptafr', 'Cln8', 'Sphk1', 'Aldh3b1', 'Abcg1', 'Lrp1', 'Abca1', 'Npc1', 'Slc37a2', 'Gdpd1', 'Soat1', 'Acer3', 'Moxd1', 'Ch25h'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0325	1.0	0.0182
aldehyde catabolic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0185	1.0	1.0
alpha-amino acid catabolic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0196	1.0
alpha-amino acid metabolic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0118	1.0
alpha-beta T cell activation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0032
alpha-beta T cell differentiation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0185
ameboidal-type cell migration	{'No common gene'}	0.0157	1.0	1.0	1.0	1.0	1.0	0.0448	0.00035	0.00022999999999999998
amide biosynthetic process	{'n/a (just one condition)'}	1.0	1.9399999999999997e-05	1.0	1.0	1.0	1.0	1.0	1.0	1.0
amide transport	{'Unc93b1', 'Ncf1', 'Egr2', 'Psap', 'Dab2', 'Snx8', 'Nsf', 'Tbc1d9', 'Dennd2a', 'Rab7b', 'Msr1', 'Edn1', 'Myo7a', 'Snx1', 'Arrb2', 'Rab31', 'Rab8b', 'Rftn1', 'Mcoln2', 'Lamp2', 'Tlr2', 'Bid', 'Tlr4', 'Gnptab', 'Apobec1', 'Il1rn', 'Syk', 'Cfl1', 'Ywhah', 'Folr2', 'Col1a1', 'Plek', 'Mmp12', 'Clu', 'Snx5', 'Myo5a', 'Pltp', 'Rab3il1', 'Abca1', 'Rab29', 'Cd63', 'Slc15a3', 'Anxa1', 'C1qtnf5', 'Ap1s2', 'Tmed9', 'Ildr2', 'Abcg1', 'Steap3', 'Tgfb1', 'Crlf2', 'Erp29', 'Rab11fip5'}	1.0	1.0	1.0	1.0	1.0	1.0	0.00084	1.0	4.5799999999999995e-05
amino acid transmembrane transport	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0055
amino acid transport	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0034
amino sugar catabolic process	{'Npl', 'Renbp', 'Nagk', 'Gnpda1'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0185	1.0	0.0112
amino sugar metabolic process	{'Gnpda1', 'Uap1l1', 'Npl', 'Hexb', 'Chst2', 'Renbp', 'Nagk'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0136	1.0	0.0077
aminoglycan biosynthetic process	{'B4galt5', 'Xylt2', 'Hexa', 'Dse', 'Chst11'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0008	1.0	0.0018
aminoglycan catabolic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0194	1.0
aminoglycan metabolic process	{'B4galt5'}	1.0	1.0	1.0	1.0	1.0	1.0	3.44e-07	0.0098	0.00011
ammonium ion metabolic process	{'Sphk1', 'Gba', 'Samd8', 'Fabp5', 'Sat1', 'Pla2g15', 'Rnf180', 'Pde1b', 'Lpcat2', 'Acer3', 'Moxd1'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0043	1.0	0.0306
ammonium transport	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0219	1.0
amyloid precursor protein catabolic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0246
amyloid precursor protein metabolic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.017
amyloid-beta clearance	{'Itgb2'}	1.0	1.0	1.0	1.0	0.018000000000000002	0.0459	0.0124	0.0194	0.0068
anatomical structure development	{'No common gene'}	2.16e-07	1.8e-05	1.0	1.0	4.5799999999999995e-15	9.41e-06	4.86e-22	2.46e-08	2.4e-10
anatomical structure formation involved in morphogenesis	{'No common gene'}	4.8e-06	0.0018	1.0	1.0	1.59e-09	0.0007599999999999999	1.52e-09	2.660000000000001e-05	0.0011
anatomical structure maturation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0165	1.0
anatomical structure morphogenesis	{'No common gene'}	7.14e-10	4.8e-06	1.0	1.0	3.37e-14	3.62e-06	4.75e-16	0.00016999999999999999	4.18e-09
anatomical structure regression	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0053
androgen metabolic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0387
angiogenesis	{'No common gene'}	1.47e-05	0.00018	1.0	1.0	3.4200000000000005e-05	0.003	5.3600000000000005e-09	8.690000000000002e-07	7.640000000000002e-11
angiogenesis involved in wound healing	{'Prcp', 'Hpse', 'Cx3cl1', 'Gpx1'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0185	1.0	0.0024
animal organ development	{'No common gene'}	8.310000000000001e-08	2.7000000000000002e-05	1.0	1.0	2.47e-15	2.07e-05	2.5499999999999995e-20	2.32e-09	3.12e-08
animal organ formation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0209
animal organ morphogenesis	{'No common gene'}	1.06e-07	0.00011	1.0	1.0	8.939999999999998e-08	0.0148	2.36e-05	0.0126	0.00054
animal organ regeneration	{'Lcp1'}	1.0	1.0	1.0	1.0	0.0109	1.0	0.01	0.0486	0.0007599999999999999
anion transmembrane transport	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0182	1.0
anion transport	{'Abcc3', 'Abcg1', 'Abca1', 'Slc11a1', 'Pltp'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0106	0.0011	0.00018999999999999998
anterior/posterior pattern specification	{'Sema3c', 'Osr1', 'Pcsk5', 'Nkx3-1', 'Bmpr1a', 'Cobl', 'Tdrd5'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0242	0.0204
antibiotic biosynthetic process	{'Cybb'}	1.0	1.0	1.0	1.0	1.0	0.0459	1.0	0.0194	1.0
antibiotic catabolic process	{'Prdx1', 'Esd', 'Npl', 'Renbp', 'Gpx1', 'Aldh3b1', 'Nagk'}	1.0	1.0	1.0	1.0	1.0	1.0	0.001	1.0	0.00045999999999999996
antibiotic metabolic process	{'Ncf1', 'Prdx1', 'Esd', 'Npl', 'Cybb', 'Cyba', 'Gpx1', 'Renbp', 'Aldh3b1', 'Nagk'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0252	1.0	0.0111
antibody-dependent cellular cytotoxicity	{'Fcgr1', 'Fcgr3'}	1.0	1.0	1.0	0.002	1.0	1.0	0.0396	0.0175	1.0
antigen processing and presentation	{'Slc11a1', 'Unc93b1', 'Fcgr2b'}	1.0	1.0	1.0	1.0	0.0044	0.038	0.00026000000000000003	1.36e-13	3.08e-10
antigen processing and presentation of endogenous peptide antigen	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0147
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.026000000000000002	1.0
antigen processing and presentation of exogenous peptide antigen	{'Fcgr1', 'Unc93b1', 'Fcer1g', 'Fcgr3'}	1.0	1.0	1.0	0.00011999999999999999	1.0	1.0	0.0028	7.66e-12	1.28e-08
antigen processing and presentation of exogenous peptide antigen via MHC class I	{'Fcgr1', 'Fcer1g', 'Fcgr3'}	1.0	1.0	1.0	0.00035	1.0	1.0	0.0059	9.37e-05	0.0027
antigen processing and presentation of exogenous peptide antigen via MHC class II	{'Unc93b1'}	1.0	1.0	1.0	0.0184	0.0027	1.0	0.0153	6.950000000000001e-10	8.97e-07
antigen processing and presentation of peptide antigen	{'Slc11a1', 'Unc93b1'}	1.0	1.0	1.0	1.91e-06	0.0016	0.0427	0.00031	4.65e-14	3.86e-11
antigen processing and presentation of peptide antigen via MHC class I	{'Ifi30', 'Fcer1g', 'Fcgr3', 'Fcgr1'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0131	2.8699999999999996e-05	0.00013000000000000002
antigen processing and presentation of peptide antigen via MHC class II	{'H2-Aa', 'H2-DMb1', 'Unc93b1', 'H2-Eb1', 'Cd74', 'Fcgr2b', 'March1', 'Ifi30', 'Fcer1g', 'H2-Ab1', 'H2-DMa'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.15e-10	3.17e-07
antigen receptor-mediated signaling pathway	{'Nfam1', 'Cd38', 'Syk'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0182	0.0026	0.00026000000000000003
aorta development	{'No common gene'}	1.0	1.0	1.0	1.0	0.0341	1.0	1.0	0.0464	1.0
aorta morphogenesis	{'No common gene'}	1.0	1.0	1.0	1.0	0.0215	1.0	0.0322	0.026000000000000002	1.0
aorta smooth muscle tissue morphogenesis	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0257	1.0	1.0	1.0	1.0
aortic valve development	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	0.0455	1.0	1.0	1.0	1.0
apolipoprotein A-I-mediated signaling pathway	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0446	1.0
apoptotic cell clearance	{'Mertk', 'Thbs1', 'Mfge8', 'Lrp1'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0396	1.0	0.001
apoptotic process	{'Ncf1', 'Tnfrsf1b', 'Itgam', 'Spi1', 'Inpp5d'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0008300000000000001	0.00028	4.7e-09
apoptotic process involved in morphogenesis	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0488	1.0
apoptotic signaling pathway	{'Tnfrsf1b'}	1.0	1.0	1.0	1.0	1.0	1.0	0.00029	0.0146	8.279999999999999e-08
arginine catabolic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0134	1.0
arginine transport	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0109
aromatic compound catabolic process	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0364	1.0
artery development	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0349	1.0
artery morphogenesis	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0271	1.0
ascending aorta morphogenesis	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0457	1.0
astrocyte activation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0107	1.0
astrocyte cell migration	{'Ccl3', 'Ccl2', 'Mmp14', 'Hexb'}	1.0	1.0	1.0	1.0	1.0	1.0	0.0059	1.0	0.0027
astrocyte development	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0054	1.0
astrocyte differentiation	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0097	1.0
asymmetric neuroblast division	{'n/a (just one condition)'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0084	1.0
atrial cardiac muscle cell action potential	{'Cacna1c', 'Cacnb2', 'Ank2'}	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0251	0.0295
